feature,chi2,p_value,dof,cramers_v
risk_category,63.64414029084687,1.5130404304525917e-14,2,0.23029716362931116
sleep_quality,47.705281637043335,4.3745130222438086e-11,2,0.1993850580264298
heavy_social_media_user,37.67512478180189,8.356340202172188e-10,1,0.17718898757588813
social_interaction_level,0.4571230404927918,0.7956773454323949,2,0.019517578412224363
platform_usage,0.45481412537972454,0.7965964515888357,2,0.01946822465325923
gender,0.2551540903632945,0.6134690795473368,1,0.014581783451830532
